,Pos,EQUIPE,P,J,V,E,D,GP,GC,SG,%,PE,GA
7,8.0,RIKELME/BESIKTAS,16.0,13.0,5.0,1.0,7.0,34.0,34.0,0.0,41.0,0.0,
8,9.0,DANIEL/PSV,15.0,13.0,4.0,3.0,5.0,24.0,22.0,2.0,38.0,0.0,
9,10.0,JEIZIEL/MONACO,14.0,13.0,4.0,2.0,5.0,23.0,25.0,-2.0,36.0,0.0,
10,11.0,ISRAEL/MAN_UTD,13.0,13.0,4.0,1.0,6.0,29.0,34.0,-5.0,33.0,0.0,
11,12.0,RODRIGO/O_MARSEILLE,8.0,13.0,2.0,2.0,7.0,14.0,27.0,-13.0,21.0,0.0,
12,,ROBERT,,,,,,,,,,,
13,13.0,,4.0,13.0,1.0,1.0,8.0,16.0,30.0,-14.0,10.0,0.0,
14,,MIGUEL/LAZIO,,,,,,,,,,,
15,14.0,RHUAN/BARCELONA,1.0,13.0,0.0,1.0,6.0,5.0,22.0,-17.0,3.0,0.0,
0,1.0,Daniel/COREIA_SUL,31.0,15.0,10.0,1.0,3.0,33.0,25.0,8.0,69.0,0.0,
1,,Jovisclovaldo/ARÁBIA,,,,,,,,,,,
2,2.0,,29.0,15.0,9.0,2.0,3.0,42.0,26.0,16.0,64.0,0.0,
3,,SAUDITA,,,,,,,,,,,
4,3.0,Douglas/NIGÉRIA,28.0,15.0,9.0,1.0,5.0,31.0,25.0,6.0,62.0,0.0,
5,4.0,Jaison/IRAQUE,27.0,15.0,8.0,3.0,4.0,31.0,22.0,9.0,60.0,0.0,
6,5.0,EGITO/ Vitin,25.0,15.0,7.0,4.0,4.0,36.0,22.0,14.0,56.0,0.0,
7,,Ricardo/COSTA_,,,,,,,,,,,
8,6.0,,24.0,15.0,7.0,3.0,5.0,29.0,31.0,-2.0,53.0,0.0,
9,,MARFIM,,,,,,,,,,,
10,7.0,Eric/AFRICA_SUL,20.0,15.0,5.0,5.0,5.0,26.0,24.0,2.0,44.0,0.0,
11,8.0,MARROCOS/Gabriel,20.0,15.0,6.0,2.0,6.0,27.0,28.0,-1.0,44.0,0.0,
12,9.0,Jeiziel/TUNISIA,20.0,15.0,6.0,2.0,7.0,19.0,20.0,-1.0,44.0,0.0,
13,10.0,Alysson/SENEGAL,20.0,15.0,6.0,2.0,7.0,24.0,26.0,-2.0,44.0,0.0,
14,11.0,Moacir/CAMAROES,19.0,15.0,6.0,1.0,8.0,27.0,25.0,2.0,42.0,0.0,
15,12.0,Israel/TAILANDIA,16.0,15.0,4.0,4.0,5.0,27.0,27.0,0.0,36.0,0.0,
16,13.0,Joao/CHINA,16.0,15.0,5.0,1.0,9.0,25.0,34.0,-9.0,36.0,0.0,
17,14.0,Rikelme/ARGÉLIA,12.0,15.0,3.0,3.0,8.0,25.0,34.0,-9.0,27.0,0.0,
18,15.0,Henri/JAPAO,12.0,15.0,3.0,3.0,9.0,18.0,35.0,-17.0,27.0,0.0,
19,16.0,Rhuan/NOVA_ZL,7.0,15.0,2.0,1.0,8.0,6.0,22.0,-16.0,16.0,0.0,
0,1,Jeiziel/Barcelona,20,11,6.0,2,2,25,15,10.0,61,0.0,
1,2,Eric/SlaviaPraha,17,11,5.0,2,1,19,10,9.0,52,0.0,
2,3,Alysson/Arsenal,14,11,4.0,2,4,21,17,4.0,42,0.0,
3,4,Daniel/City,12,11,4.0,0,2,11,8,3.0,36,0.0,
4,5,Jaison/Napoli,11,11,3.0,2,2,15,13,2.0,33,0.0,
5,6,Joao/PSV,9,11,2.0,3,3,16,17,-1.0,27,0.0,
6,7,Gustavo/Sevilla,8,11,2.0,2,0,8,4,4.0,24,0.0,
7,8,Israel/Inter_milan,4,11,1.0,1,2,7,8,-1.0,12,0.0,
8,9,Icaro/Roma,4,11,1.0,1,4,6,16,-10.0,12,0.0,
9,10,Ricardo/Bayern,3,11,1.0,0,3,3,9,-6.0,9,0.0,
10,11,Rikelme/Man_unt,1,11,0.0,1,3,6,14,-8.0,3,0.0,
11,12,Douglas/Milan,0,11,0.0,0,3,0,6,-6.0,0,0.0,
0,1,Jeiziel/Wolksburg,38,15,12.0,2,1,35,14,21.0,84,0.0,2.5
1,2,Alysson/ Milan,35,15,11.0,2,2,41,16,25.0,78,0.0,2.56
2,3,Eric/Leverkusen,35,15,10.0,5,0,40,15,25.0,78,0.0,2.67
3,4,Icaro/Roma,34,15,11.0,1,3,38,11,27.0,76,0.0,3.45
4,5,Barone/Bayern,29,15,9.0,2,4,34,20,14.0,64,0.0,1.7
5,6,Gabriel/Monaco,26,15,8.0,2,5,27,23,4.0,58,0.0,1.17
6,7,Rikelme/Benfica,26,15,7.0,5,3,35,20,15.0,58,0.0,1.75
7,8,Gustavo/PSG,24,15,7.0,3,5,38,27,11.0,53,0.0,1.41
8,9,Daniel/Arsenal,24,15,7.0,3,5,34,26,8.0,53,0.0,1.31
9,10,Douglas/Napoli,22,15,7.0,1,7,20,23,-3.0,49,0.0,0.87
10,11,Joao/Ajax,18,15,5.0,3,7,29,25,4.0,40,0.0,1.16
11,12,Israel/Inter_milan,16,15,5.0,1,9,18,25,-7.0,36,0.0,0.72
12,13,Marcos/Barcelona,0,15,0.0,0,12,0,36,-36.0,0,0.0,0.0
13,14,Ruan/Sevilla,0,15,0.0,0,12,0,36,-36.0,0,0.0,0.0
